"","step","S","E","I","R","simu","Langage"
"242",241,0.21915,0.03255,0.04775,0.70055,"Netlogo_H_6","Net_H"
"243",242,0.2146,0.0332,0.04885,0.70335,"Netlogo_H_6","Net_H"
"244",243,0.21065,0.03265,0.04945,0.70725,"Netlogo_H_6","Net_H"
"245",244,0.20755,0.03015,0.0519,0.7104,"Netlogo_H_6","Net_H"
"246",245,0.20335,0.03005,0.05235,0.71425,"Netlogo_H_6","Net_H"
"247",246,0.1974,0.0318,0.0522,0.7186,"Netlogo_H_6","Net_H"
"248",247,0.1929,0.033,0.0521,0.722,"Netlogo_H_6","Net_H"
"249",248,0.1901,0.031,0.05335,0.72555,"Netlogo_H_6","Net_H"
"250",249,0.18575,0.03035,0.05565,0.72825,"Netlogo_H_6","Net_H"
"251",250,0.18175,0.03015,0.05575,0.73235,"Netlogo_H_6","Net_H"
"252",251,0.17815,0.03095,0.05575,0.73515,"Netlogo_H_6","Net_H"
"253",252,0.1739,0.03145,0.05445,0.7402,"Netlogo_H_6","Net_H"
"254",253,0.17105,0.03055,0.055,0.7434,"Netlogo_H_6","Net_H"
"255",254,0.16805,0.0303,0.0542,0.74745,"Netlogo_H_6","Net_H"
"256",255,0.16545,0.02935,0.0544,0.7508,"Netlogo_H_6","Net_H"
"257",256,0.16245,0.0294,0.05395,0.7542,"Netlogo_H_6","Net_H"
"258",257,0.1602,0.02865,0.05345,0.7577,"Netlogo_H_6","Net_H"
"259",258,0.15745,0.0281,0.05205,0.7624,"Netlogo_H_6","Net_H"
"260",259,0.15525,0.02745,0.0517,0.7656,"Netlogo_H_6","Net_H"
"261",260,0.15275,0.02705,0.0513,0.7689,"Netlogo_H_6","Net_H"
"262",261,0.15115,0.0259,0.05005,0.7729,"Netlogo_H_6","Net_H"
"263",262,0.14975,0.02445,0.05015,0.77565,"Netlogo_H_6","Net_H"
"264",263,0.1482,0.0235,0.0501,0.7782,"Netlogo_H_6","Net_H"
"265",264,0.1464,0.0243,0.04865,0.78065,"Netlogo_H_6","Net_H"
"266",265,0.14555,0.0236,0.04815,0.7827,"Netlogo_H_6","Net_H"
"267",266,0.1445,0.02265,0.0486,0.78425,"Netlogo_H_6","Net_H"
"268",267,0.14385,0.0218,0.0488,0.78555,"Netlogo_H_6","Net_H"
"269",268,0.1429,0.02145,0.0481,0.78755,"Netlogo_H_6","Net_H"
"270",269,0.1408,0.0223,0.04665,0.79025,"Netlogo_H_6","Net_H"
"271",270,0.1391,0.02285,0.045,0.79305,"Netlogo_H_6","Net_H"
"272",271,0.1377,0.0224,0.04445,0.79545,"Netlogo_H_6","Net_H"
"273",272,0.13685,0.0216,0.0436,0.79795,"Netlogo_H_6","Net_H"
"274",273,0.1366,0.02025,0.04275,0.8004,"Netlogo_H_6","Net_H"
"275",274,0.1359,0.0201,0.0421,0.8019,"Netlogo_H_6","Net_H"
"276",275,0.13465,0.02005,0.04185,0.80345,"Netlogo_H_6","Net_H"
"277",276,0.13365,0.0197,0.04115,0.8055,"Netlogo_H_6","Net_H"
"278",277,0.1339,0.01945,0.04065,0.806,"Netlogo_H_6","Net_H"
"279",278,0.1345,0.0178,0.0407,0.807,"Netlogo_H_6","Net_H"
"280",279,0.13535,0.01645,0.03995,0.80825,"Netlogo_H_6","Net_H"
"281",280,0.13445,0.0171,0.039,0.80945,"Netlogo_H_6","Net_H"
"282",281,0.13435,0.0181,0.03775,0.8098,"Netlogo_H_6","Net_H"
"283",282,0.1348,0.0183,0.0366,0.8103,"Netlogo_H_6","Net_H"
"284",283,0.1361,0.01645,0.03785,0.8096,"Netlogo_H_6","Net_H"
"285",284,0.1355,0.01715,0.0377,0.80965,"Netlogo_H_6","Net_H"
"286",285,0.1359,0.01725,0.03695,0.8099,"Netlogo_H_6","Net_H"
"287",286,0.13615,0.0171,0.03745,0.8093,"Netlogo_H_6","Net_H"
"288",287,0.1361,0.0161,0.03695,0.81085,"Netlogo_H_6","Net_H"
"289",288,0.1371,0.01485,0.03785,0.8102,"Netlogo_H_6","Net_H"
"290",289,0.1381,0.0147,0.03615,0.81105,"Netlogo_H_6","Net_H"
"291",290,0.13935,0.0148,0.0348,0.81105,"Netlogo_H_6","Net_H"
"292",291,0.14045,0.01405,0.0345,0.811,"Netlogo_H_6","Net_H"
"293",292,0.1418,0.0141,0.03275,0.81135,"Netlogo_H_6","Net_H"
"294",293,0.1424,0.01445,0.0313,0.81185,"Netlogo_H_6","Net_H"
"295",294,0.1434,0.01485,0.0301,0.81165,"Netlogo_H_6","Net_H"
"296",295,0.14445,0.01535,0.02855,0.81165,"Netlogo_H_6","Net_H"
"297",296,0.1458,0.01525,0.02785,0.8111,"Netlogo_H_6","Net_H"
"298",297,0.1471,0.01435,0.02755,0.811,"Netlogo_H_6","Net_H"
"299",298,0.14865,0.0151,0.0259,0.81035,"Netlogo_H_6","Net_H"
"300",299,0.1503,0.0146,0.02485,0.81025,"Netlogo_H_6","Net_H"
"301",300,0.1521,0.01475,0.02435,0.8088,"Netlogo_H_6","Net_H"
"302",301,0.1539,0.0139,0.02425,0.80795,"Netlogo_H_6","Net_H"
"303",302,0.15545,0.0127,0.0249,0.80695,"Netlogo_H_6","Net_H"
"304",303,0.15685,0.0114,0.0257,0.80605,"Netlogo_H_6","Net_H"
"305",304,0.15835,0.012,0.02525,0.8044,"Netlogo_H_6","Net_H"
"306",305,0.15935,0.0124,0.02475,0.8035,"Netlogo_H_6","Net_H"
"307",306,0.15995,0.0124,0.0247,0.80295,"Netlogo_H_6","Net_H"
"308",307,0.1611,0.01265,0.024,0.80225,"Netlogo_H_6","Net_H"
"309",308,0.16275,0.01235,0.02425,0.80065,"Netlogo_H_6","Net_H"
"310",309,0.16575,0.0124,0.02395,0.7979,"Netlogo_H_6","Net_H"
"311",310,0.1674,0.0124,0.0233,0.7969,"Netlogo_H_6","Net_H"
"312",311,0.16885,0.01165,0.02345,0.79605,"Netlogo_H_6","Net_H"
"313",312,0.16975,0.0112,0.024,0.79505,"Netlogo_H_6","Net_H"
"314",313,0.1702,0.0123,0.02395,0.79355,"Netlogo_H_6","Net_H"
"315",314,0.1712,0.01315,0.0234,0.79225,"Netlogo_H_6","Net_H"
"316",315,0.1732,0.01275,0.0229,0.79115,"Netlogo_H_6","Net_H"
"317",316,0.1744,0.01295,0.02295,0.7897,"Netlogo_H_6","Net_H"
"318",317,0.17655,0.0127,0.02265,0.7881,"Netlogo_H_6","Net_H"
"319",318,0.1786,0.01275,0.02215,0.7865,"Netlogo_H_6","Net_H"
"320",319,0.1805,0.01235,0.0229,0.78425,"Netlogo_H_6","Net_H"
"321",320,0.1813,0.01275,0.02275,0.7832,"Netlogo_H_6","Net_H"
"322",321,0.18195,0.01385,0.02235,0.78185,"Netlogo_H_6","Net_H"
"323",322,0.1839,0.01415,0.0221,0.77985,"Netlogo_H_6","Net_H"
"324",323,0.1846,0.0143,0.02265,0.77845,"Netlogo_H_6","Net_H"
"325",324,0.18615,0.0138,0.02315,0.7769,"Netlogo_H_6","Net_H"
"326",325,0.1879,0.0132,0.02375,0.77515,"Netlogo_H_6","Net_H"
"327",326,0.18915,0.0131,0.0239,0.77385,"Netlogo_H_6","Net_H"
"328",327,0.19065,0.0128,0.0242,0.77235,"Netlogo_H_6","Net_H"
"329",328,0.1927,0.01195,0.0251,0.77025,"Netlogo_H_6","Net_H"
"330",329,0.1949,0.0122,0.02475,0.76815,"Netlogo_H_6","Net_H"
"331",330,0.1963,0.01305,0.02405,0.7666,"Netlogo_H_6","Net_H"
"332",331,0.1973,0.0136,0.0249,0.7642,"Netlogo_H_6","Net_H"
"333",332,0.1985,0.0138,0.0246,0.7631,"Netlogo_H_6","Net_H"
