step,S,E,I,R
326,0.1648,0.0273,0.04375,0.76415
327,0.16395,0.0268,0.04455,0.7647
328,0.164,0.02675,0.04445,0.7648
329,0.1635,0.02565,0.0452,0.76565
330,0.16245,0.02505,0.04605,0.76645
331,0.1603,0.02495,0.04695,0.7678
332,0.15875,0.0247,0.0474,0.76915
333,0.1584,0.0248,0.04665,0.77015
334,0.15775,0.02605,0.0462,0.77
335,0.15565,0.02675,0.04615,0.77145
336,0.1548,0.0266,0.04555,0.77305
337,0.1546,0.0255,0.04635,0.77355
338,0.1553,0.0236,0.0466,0.7745
339,0.15525,0.0226,0.047,0.77515
340,0.1549,0.02305,0.04625,0.7758
341,0.1561,0.0227,0.0464,0.7748
342,0.15615,0.0222,0.0458,0.77585
343,0.15655,0.02175,0.0442,0.7775
344,0.1565,0.02225,0.0438,0.77745
345,0.1564,0.023,0.04355,0.77705
346,0.15775,0.02225,0.04245,0.77755
347,0.1574,0.0232,0.04265,0.77675
348,0.1565,0.0239,0.0424,0.7772
349,0.1561,0.02395,0.04115,0.7788
350,0.1548,0.0245,0.04145,0.77925
351,0.15475,0.02465,0.04175,0.77885
352,0.15435,0.02345,0.04205,0.78015
353,0.1549,0.0224,0.0432,0.7795
354,0.15515,0.02225,0.04295,0.77965
355,0.15495,0.02255,0.04275,0.77975
356,0.15525,0.02295,0.0416,0.7802
357,0.1551,0.02265,0.0421,0.78015
358,0.15525,0.02305,0.0417,0.78
359,0.15495,0.02285,0.0413,0.7809
360,0.15475,0.02325,0.04075,0.78125
361,0.1534,0.0237,0.0404,0.7825
362,0.1542,0.02305,0.04105,0.7817
363,0.15345,0.02435,0.0404,0.7818
364,0.1553,0.0238,0.03985,0.78105
365,0.156,0.02325,0.04055,0.7802
366,0.1561,0.02265,0.03985,0.7814
367,0.15605,0.023,0.0401,0.78085
368,0.1553,0.02225,0.04065,0.7818
369,0.1548,0.0214,0.04105,0.78275
370,0.1549,0.02125,0.0411,0.78275
371,0.1561,0.0204,0.041,0.7825
372,0.15615,0.01995,0.04185,0.78205
373,0.1576,0.0199,0.04015,0.78235
374,0.15715,0.02005,0.03965,0.78315
375,0.15595,0.0217,0.03845,0.7839
376,0.1564,0.0213,0.0392,0.7831
377,0.156,0.0222,0.0397,0.7821
378,0.15565,0.0226,0.04095,0.7808
379,0.1542,0.0225,0.0414,0.7819
380,0.1538,0.02315,0.04155,0.7815
381,0.1535,0.02375,0.0406,0.78215
382,0.1534,0.0242,0.0402,0.7822
383,0.15455,0.0228,0.04205,0.7806
384,0.15435,0.02215,0.0418,0.7817
385,0.15445,0.022,0.04255,0.781
386,0.1533,0.02355,0.04215,0.781
387,0.15425,0.02385,0.04145,0.78045
388,0.1542,0.02325,0.04205,0.7805
389,0.15545,0.0233,0.04095,0.7803
390,0.155,0.02305,0.0412,0.78075
391,0.1549,0.02415,0.04105,0.7799
392,0.15415,0.02505,0.04035,0.78045
393,0.15525,0.02415,0.0401,0.7805
394,0.15565,0.023,0.0415,0.77985
395,0.1563,0.02215,0.0412,0.78035
396,0.1559,0.0222,0.04135,0.78055
397,0.1548,0.0222,0.041,0.782
398,0.15585,0.0228,0.0398,0.78155
399,0.15605,0.0229,0.03905,0.782
400,0.156,0.0221,0.0403,0.7816
401,0.15655,0.0216,0.04,0.78185
402,0.1571,0.0219,0.039,0.782
403,0.1584,0.02165,0.03845,0.7815
404,0.15925,0.0207,0.038,0.78205
405,0.1596,0.02025,0.03745,0.7827
406,0.15955,0.0202,0.0377,0.78255
407,0.1611,0.0195,0.03815,0.78125
408,0.16145,0.0203,0.03715,0.7811
409,0.16225,0.0207,0.03705,0.78
410,0.1635,0.02,0.0372,0.7793
411,0.16475,0.01975,0.0378,0.7777
412,0.16535,0.0209,0.03825,0.7755
413,0.16555,0.022,0.03765,0.7748
414,0.1668,0.02085,0.0377,0.77465
415,0.16695,0.0202,0.03755,0.7753
416,0.1674,0.02115,0.0376,0.77385
417,0.1681,0.02185,0.03745,0.7726
418,0.16765,0.02295,0.0377,0.7717
419,0.16885,0.0221,0.03825,0.7708
420,0.168,0.02155,0.039,0.77145
421,0.1683,0.02115,0.03915,0.7714
422,0.1673,0.0226,0.0399,0.7702
