Ttimestamp,Average S,Average E,Average I,Average R,STD S,STD E,STD I,STD R
70,0.29372,0.03646,0.08204,0.58778,0.0837977432737767,0.00530161401000781,0.0104793129545787,0.0778007826295968
71,0.28634,0.03429,0.08144,0.59793,0.0827028845392415,0.00514164910855997,0.00928824825010376,0.0785262312861123
72,0.279,0.03341,0.07971,0.60788,0.0823362347666904,0.00495657812070653,0.00833632612925702,0.0789880553557871
73,0.27104,0.03369,0.07787,0.6174,0.0807300742529628,0.00518147340692459,0.00763821532383929,0.0794365155328455
74,0.2643,0.03312,0.07583,0.62675,0.079531978194658,0.00485587845354016,0.00678004424764323,0.0791742698103367
75,0.25842,0.03158,0.07378,0.63622,0.0782166762554153,0.00472623881467424,0.00705609271795974,0.079230659048965
76,0.25275,0.03033,0.0723,0.64462,0.0774638015821297,0.00449791309633948,0.00699428338001828,0.0787888006705973
77,0.24726,0.02956,0.07035,0.65283,0.076390330976287,0.00458262418756376,0.00652708034099304,0.0794100056667924
78,0.24088,0.0292,0.06871,0.66121,0.0750846011731656,0.00469065264352651,0.00689016206872765,0.0789670880810481
79,0.23458,0.02856,0.06819,0.66867,0.0738502659289578,0.00473244123048559,0.00734309199179746,0.0790770517350711
80,0.22913,0.02806,0.06608,0.67673,0.0721059721675134,0.00507218997190672,0.0073829834379094,0.0778719326130339
81,0.22361,0.02745,0.06456,0.68438,0.0705280314642499,0.00589411193951689,0.00783882077299329,0.0777201218046738
82,0.21801,0.0269,0.06375,0.69134,0.0690001682767674,0.00586950688824122,0.008348020390754,0.0771813189832877
83,0.21308,0.0261,0.0622,0.69862,0.0674950664863737,0.00591833309865765,0.00819756061276768,0.0760526542746683
84,0.2083,0.02553,0.06041,0.70576,0.0656627748423717,0.00590330415953642,0.00848180405338393,0.0751729738669424
85,0.20412,0.02402,0.0594,0.71246,0.0639906555678249,0.00597528242010367,0.00904642347990507,0.074703505793087
86,0.19957,0.02394,0.05766,0.71883,0.061847878792333,0.00638195372384769,0.00931154599886017,0.0739261951769015
87,0.19552,0.02338,0.05628,0.72482,0.0599585004630518,0.0062133905576764,0.00952363142690621,0.0724354701326176
88,0.19113,0.02304,0.05538,0.73045,0.0583968045168379,0.00608845902781101,0.0106399456974387,0.0719370442354517
89,0.18668,0.02295,0.0539,0.73647,0.0566063168834637,0.00586083990947069,0.0108992354471923,0.0705943190978487
90,0.18327,0.02229,0.05295,0.74149,0.0545788532512568,0.00647893166776403,0.0109376261897482,0.0692183413394006
91,0.1799,0.02138,0.0519,0.74682,0.0523978583107703,0.00703717114881952,0.0109340446923055,0.0677582598490972
92,0.17643,0.02052,0.05058,0.75247,0.050840361262813,0.00672537483465916,0.0116998385553914,0.0665205406873195
93,0.17415,0.01927,0.0493,0.75728,0.0494991414066951,0.00651904048836091,0.0110868290226637,0.0641581344976786
94,0.17106,0.0193,0.04738,0.76226,0.0481464478902073,0.00640121516241686,0.0113894493087048,0.0627224786925177
95,0.16826,0.01914,0.04577,0.76683,0.0465590473365692,0.00651139172698297,0.0118015112026667,0.0612486017981
96,0.16565,0.01824,0.04498,0.77113,0.0450758434936793,0.00598594650456848,0.0126198080633406,0.0600048896155786
97,0.16328,0.01799,0.04335,0.77538,0.0433483512437965,0.00661453786073609,0.0115862226612281,0.0576215777484635
98,0.16028,0.01784,0.04209,0.77979,0.0417129556213255,0.0062930649660294,0.0118635248649894,0.0561753296978902
99,0.15772,0.01703,0.04114,0.78411,0.03989830962724,0.00604998622587964,0.0124187313719594,0.0547076360707027
100,0.15599,0.01617,0.04042,0.78742,0.0381242253108907,0.00584124225752631,0.0125384563997682,0.053204151884771
101,0.15431,0.01567,0.03927,0.79075,0.0368695734236843,0.00560536449404596,0.0120722869047712,0.05118778608657
102,0.15239,0.01542,0.03782,0.79437,0.0351395456240781,0.00599162378287853,0.012059371643848,0.0497259612498564
103,0.15077,0.01503,0.03706,0.79714,0.0337495366223334,0.00576657996081251,0.0120365369696696,0.0483837254548354
104,0.14884,0.01496,0.03578,0.80042,0.0321016164355906,0.00598167572210701,0.0119293103088336,0.0466957718761679
105,0.14729,0.01419,0.03504,0.80348,0.0306661394882224,0.00586750940916729,0.012466595365215,0.0452330704978854
106,0.14554,0.01398,0.0339,0.80658,0.028970912615549,0.00631291445284101,0.0120282999630039,0.0434563075590491
107,0.14416,0.01345,0.0335,0.80889,0.0274798592912458,0.00599263436784413,0.0124904407893041,0.0418662805183891
108,0.14318,0.01293,0.0326,0.81129,0.0263307087299644,0.00563186371362881,0.0124271208786804,0.0404495694249848
109,0.14235,0.01256,0.03153,0.81356,0.0250009888693316,0.00553979542341893,0.0123107044658072,0.0387666007451431
110,0.14207,0.01189,0.03044,0.8156,0.0237203639657292,0.00560940678186602,0.0121051137036286,0.0371633929798906
111,0.14135,0.01158,0.02922,0.81785,0.0228323479106094,0.0055979758246471,0.0112334619181562,0.0355054064740694
112,0.14074,0.01123,0.02829,0.81974,0.0224229644189463,0.00536574526251687,0.0111598934682291,0.0345940328830148
113,0.13998,0.01101,0.0271,0.82191,0.021675423871288,0.00508340437108834,0.0109296741844292,0.0331048989325347
114,0.13967,0.01049,0.02631,0.82353,0.0207280834725366,0.00477829583754618,0.0105447670012718,0.0314422945868919
115,0.1391,0.01011,0.02571,0.82508,0.0197575864472922,0.00464457867961251,0.0103933151592743,0.0297477468801327
116,0.13878,0.01002,0.02474,0.82646,0.0190947229475697,0.00435195996713614,0.0102923056481799,0.0283778552161129
117,0.13867,0.00902,0.02416,0.82815,0.0180816696623342,0.00406879725608332,0.0100606162833099,0.0271246198130038
118,0.13861,0.00895,0.02287,0.82957,0.0174999333332063,0.00406810084000439,0.00981982688238444,0.0258610410549236
119,0.13912,0.0086,0.022,0.83028,0.016946635195355,0.00420423067344735,0.00925130621407954,0.0245813750632466
120,0.13928,0.00837,0.0213,0.83105,0.0163989024022951,0.00440934613444367,0.00920265662126371,0.0236367533961649
121,0.13941,0.00794,0.02067,0.83198,0.0161558004719323,0.00370980682336246,0.0090514639699885,0.0220760201727274
122,0.14,0.00739,0.02004,0.83257,0.0159815866268375,0.00336599003101448,0.00896898359161542,0.0214030657201772
