step,S,E,I,R
316,0.19805,0.01485,0.0274,0.7597
317,0.1984,0.0144,0.02715,0.76005
318,0.19795,0.01405,0.02795,0.76005
319,0.19775,0.01425,0.0275,0.7605
320,0.19725,0.0153,0.02735,0.7601
321,0.1979,0.0153,0.0279,0.7589
322,0.19785,0.0147,0.02785,0.7596
323,0.1995,0.01315,0.02815,0.7592
324,0.19955,0.01445,0.02795,0.75805
325,0.199,0.01445,0.0273,0.75925
326,0.1988,0.0134,0.02785,0.75995
327,0.19845,0.01315,0.02805,0.76035
328,0.1978,0.01335,0.0277,0.76115
329,0.1981,0.0146,0.0273,0.76
330,0.1983,0.01445,0.0272,0.76005
331,0.1987,0.0144,0.0266,0.7603
332,0.19785,0.01495,0.02685,0.76035
333,0.1979,0.01505,0.02735,0.7597
334,0.19795,0.01535,0.0274,0.7593
335,0.1985,0.015,0.02875,0.75775
336,0.19785,0.01615,0.02875,0.75725
337,0.1993,0.01575,0.0285,0.75645
338,0.2003,0.0146,0.0287,0.7564
339,0.20025,0.0143,0.02815,0.7573
340,0.2003,0.01505,0.028,0.75665
341,0.1999,0.01565,0.0288,0.75565
342,0.19995,0.01645,0.0278,0.7558
343,0.1995,0.0155,0.0281,0.7569
344,0.19925,0.01595,0.0283,0.7565
345,0.1991,0.01595,0.02925,0.7557
346,0.1992,0.0157,0.0299,0.7552
347,0.19905,0.016,0.02945,0.7555
348,0.1975,0.017,0.02915,0.75635
349,0.19655,0.01715,0.03025,0.75605
350,0.1963,0.01665,0.03085,0.7562
351,0.1965,0.01665,0.03175,0.7551
352,0.19725,0.01555,0.0319,0.7553
353,0.19595,0.0163,0.0323,0.75545
354,0.1954,0.01705,0.03285,0.7547
355,0.1959,0.0167,0.03235,0.75505
356,0.1965,0.01585,0.03275,0.7549
357,0.19655,0.01715,0.032,0.7543
358,0.1969,0.0168,0.03245,0.75385
359,0.19705,0.0168,0.03195,0.7542
360,0.1966,0.01675,0.03295,0.7537
361,0.1972,0.0158,0.03315,0.75385
362,0.1965,0.0157,0.0329,0.7549
363,0.1971,0.0158,0.0316,0.7555
364,0.19715,0.01635,0.0314,0.7551
365,0.19705,0.01685,0.03055,0.75555
366,0.19675,0.01665,0.0313,0.7553
367,0.19665,0.0169,0.0315,0.75495
368,0.1957,0.01775,0.03215,0.7544
369,0.1956,0.01715,0.03245,0.7548
370,0.1961,0.01575,0.03275,0.7554
371,0.194,0.01725,0.03275,0.756
372,0.19415,0.01705,0.03265,0.75615
373,0.19405,0.01705,0.03325,0.75565
374,0.1931,0.0165,0.0333,0.7571
375,0.1932,0.01605,0.03325,0.7575
376,0.1939,0.01605,0.03275,0.7573
