TIME,s,e,i,r
584,3901,275,622,15202
585,3883,294,615,15208
586,3892,277,603,15228
587,3917,274,578,15231
588,3931,252,574,15243
589,3954,236,577,15233
590,3978,217,565,15240
591,3997,226,551,15226
592,4007,242,546,15205
593,4025,254,540,15181
594,4034,258,524,15184
595,4041,258,540,15161
596,4062,260,533,15145
597,4060,251,572,15117
598,4057,255,571,15117
599,4078,250,556,15116
600,4103,244,535,15118
601,4121,237,523,15119
602,4128,238,539,15095
603,4132,233,536,15099
604,4134,227,538,15101
605,4125,236,546,15093
606,4154,222,553,15071
607,4160,225,554,15061
608,4176,231,535,15058
609,4190,236,540,15034
610,4170,252,549,15029
611,4194,245,567,14994
612,4203,256,559,14982
613,4207,271,546,14976
614,4225,254,546,14975
615,4265,245,547,14943
616,4276,245,530,14949
617,4286,252,531,14931
618,4258,281,526,14935
619,4274,267,553,14906
620,4291,253,558,14898
621,4287,277,556,14880
622,4292,262,572,14874
623,4312,265,565,14858
624,4314,279,555,14852
625,4323,275,563,14839
626,4312,264,582,14842
627,4308,274,582,14836
628,4314,275,585,14826
629,4332,258,602,14808
630,4309,278,600,14813
631,4310,271,624,14795
632,4306,283,627,14784
633,4280,307,650,14763
634,4259,304,675,14762
635,4247,309,676,14768
636,4242,307,675,14776
637,4227,294,693,14786
638,4215,316,693,14776
639,4188,326,710,14776
640,4161,325,710,14804
641,4153,311,718,14818
642,4101,320,728,14851
643,4086,298,749,14867
644,4078,300,725,14897
645,4063,289,728,14920
646,4065,283,709,14943
647,4043,295,702,14960
648,4035,304,718,14943
649,4039,291,724,14946
650,4005,296,703,14996
651,4004,301,683,15012
652,4008,302,684,15006
653,4014,299,680,15007
654,3985,311,686,15018
655,4005,299,700,14996
656,3997,290,724,14989
657,4004,295,704,14997
658,3995,290,713,15002
659,4007,270,698,15025
660,3997,277,700,15026
661,4005,283,692,15020
662,3989,292,694,15025
663,3986,293,701,15020
664,3997,292,697,15014
665,3985,310,672,15033
666,3986,291,685,15038
667,3976,302,675,15047
668,3970,281,675,15074
669,3985,264,670,15081
670,3998,267,646,15089
671,3988,303,631,15078
672,3997,307,658,15038
673,3985,302,662,15051
674,4012,294,666,15028
675,4017,280,679,15024
676,4016,298,665,15021
677,4006,309,656,15029
678,4032,284,661,15023
679,4045,283,660,15012
680,4053,283,653,15011
681,4027,283,668,15022
682,4037,288,646,15029
683,4030,281,662,15027
684,4009,296,649,15046
685,3994,285,673,15048
686,4006,282,657,15055
687,4016,280,682,15022
688,4000,296,662,15042
689,3993,312,650,15045
690,3985,299,673,15043
691,3994,291,662,15053
692,3964,336,660,15040
693,3971,295,676,15058
694,3979,300,674,15047
695,3951,316,658,15075
696,3954,305,655,15086
697,3968,292,650,15090
698,3977,293,624,15106
699,3973,283,631,15113
700,3993,268,613,15126
701,4009,275,608,15108
702,4010,263,620,15107
703,3996,274,622,15108
704,4006,257,612,15125
705,4038,243,617,15102
706,4026,261,596,15117
707,4026,268,599,15107
708,4033,278,585,15104
709,4038,273,590,15099
710,4054,265,595,15086
711,4069,247,605,15079
712,4110,237,579,15074
713,4118,241,558,15083
714,4090,250,558,15102
715,4104,241,577,15078
716,4109,245,582,15064
717,4106,255,598,15041
718,4112,250,600,15038
719,4088,263,630,15019
720,4064,281,610,15045
721,4069,283,610,15038
722,4042,271,620,15067
723,4043,263,610,15084
724,4056,275,600,15069
725,4046,277,620,15057
726,4041,278,628,15053
727,4049,294,621,15036
728,4046,278,628,15048
729,4052,274,631,15043
730,4052,265,638,15045
