time,S,E,I,R
122.0,0.17757598220664575,0.00026640131520486203,0.0008963619121801325,0.8212612545659694
123.0,0.17974478439107774,0.0002573374319902923,0.0008584858239995815,0.8191393923529325
124.0,0.18191016470443067,0.0002487345312065889,0.0008230358676740737,0.8170180648966888
125.0,0.1840719338777585,0.00024081786123224686,0.0007895569583866342,0.8148976913026228
126.0,0.18622997529194316,0.0002335427433150332,0.0007579149536889941,0.812778567011053
127.0,0.18838423725461836,0.00022664364135404266,0.0007282336133209734,0.8106608854907068
128.0,0.19053464506809586,0.00021998048679364152,0.0007005083456702261,0.8085448660994404
129.0,0.19268110444207845,0.0002135171894396846,0.0006746313142357805,0.8064307470542462
130.0,0.19482350149365973,0.00020732163745951617,0.0006503914376280407,0.8043187854312529
131.0,0.19696170274732452,0.0002015656973819682,0.0006274743895687835,0.8022092571657249
132.0,0.19909559208264788,0.0001963724607825524,0.0006056313710178945,0.8001024040855519
133.0,0.20122514910320297,0.00019150821096008825,0.0005850135021862515,0.7979983291836509
134.0,0.20335034144391845,0.00018681436047114023,0.0005656941570713856,0.7958971500385392
135.0,0.20547111759741346,0.00018222199029224376,0.000547656091450384,0.793799004320844
136.0,0.2075874072756207,0.00017775026328561188,0.0005307932191842572,0.7917040492419096
137.0,0.20969912140978633,0.00017350642419913524,0.0005149106122179394,0.7896124615537967
138.0,0.21180615366697436,0.00016967962452482275,0.0004997312748044903,0.7875244354336965
139.0,0.21390845487205004,0.00016624813554796388,0.00048521384693530874,0.7854400831454669
140.0,0.21600603122917486,0.00016299940223924993,0.00047152446491198057,0.7833594449036742
141.0,0.21809886723605695,0.0001598167617625907,0.0004587291472787439,0.7812825868549019
142.0,0.2201869287706675,0.00015666234283807738,0.0004468138797417754,0.7792095950067529
143.0,0.22227016309124067,0.00015357706574198248,0.0004356846151691908,0.7771405752278483
144.0,0.22434849883627375,0.00015068064230676015,0.0004251672735910442,0.7750756532478287
145.0,0.22642184947820498,0.00014815811565176376,0.0004150222762739089,0.7730149701298695
146.0,0.22849019545507468,0.00014594957939770796,0.00040527560179597994,0.7709585793637318
147.0,0.23055355886183643,0.00014385715070614882,0.00039609862590324086,0.7689064853615544
148.0,0.23261193913326303,0.000141773863630997,0.0003875683499232311,0.7668587186531829
149.0,0.23466531641091365,0.00013966780568747927,0.00037968553447884513,0.7648153302489202
150.0,0.2367136515431338,0.00013758211785213866,0.00037237469948833235,0.7627763916395259
151.0,0.23875688608505555,0.00013563499456283417,0.00036548412416529725,0.7607419947962165
152.0,0.2407949436064305,0.00013401473456217843,0.00035879112661846437,0.7587122505323889
153.0,0.24282780392385894,0.00013270752068602438,0.00035228858063312223,0.756687199974822
154.0,0.24485550521169583,0.00013150189279162366,0.0003461738454088685,0.7546668190501038
155.0,0.24687806196087725,0.00013027689157876996,0.0003405503613429646,0.7526511107862011
156.0,0.24889546763764356,0.00012898801562536154,0.00033544431292580604,0.7506401000338053
157.0,0.2509076946835396,0.0001276672213874012,0.000330804628740922,0.7486338334663322
158.0,0.2529146945154144,0.00012642292319899637,0.00032650298146497575,0.7466323795799217
159.0,0.25491639752542145,0.00012543999327235925,0.00032233378786776463,0.7446358286934386
160.0,0.256912756563347,0.00012482415305806383,0.00031817604248262266,0.7426442432411124
161.0,0.2589038219448768,0.0001243461648534204,0.00031425278842952886,0.7406575791018404
162.0,0.26088962572568564,0.0001238483018934677,0.00031071145291900647,0.738675814519502
163.0,0.2628701757670871,0.0001232563252829472,0.00030761582946396335,0.736698952078166
164.0,0.26484545591247033,0.0001225788246009864,0.00030494677742111945,0.7347270184855077
165.0,0.26681542598729996,0.00012190721790109846,0.0003026022219910068,0.7327600645728081
166.0,0.2687800217991159,0.00012141575171118287,0.00030039715421796944,0.730798165294955
167.0,0.27073916716969304,0.00012131931178268728,0.0002981070426670504,0.7288414064758573
168.0,0.27269289244560496,0.00012146872419399615,0.0002958785095463611,0.7268897603206548
169.0,0.2746412543657956,0.00012163526589071878,0.0002939342354379862,0.7249431761328758
170.0,0.27658427787735673,0.00012169728519820113,0.00029238974851681623,0.7230016350889283
171.0,0.2785219595971654,0.00012162682436855986,0.0002912678288987427,0.7210651457495674
172.0,0.2804542678118839,0.0001214896195806824,0.00029049850864065806,0.7191337440598948
173.0,0.28238114247795965,0.00012144510094022693,0.0002899190717404556,0.7172074933493597
174.0,0.2843024953748779,0.00012174586137730195,0.00028927459694397614,0.715286484166801
175.0,0.28621829560608,0.00012244954325231597,0.0002885080314527685,0.7133707468192151
176.0,0.28812862257818345,0.00012325437348092928,0.0002879177871828779,0.711460205261153
177.0,0.29003352126465864,0.00012397554159617244,0.00028768397994716053,0.7095548192137981
178.0,0.291933002964806,0.00012453586271991832,0.00028788151518190823,0.7076545796572923
179.0,0.29382704530375586,0.00012496577756288202,0.0002884800879468487,0.7057595088307346
180.0,0.2957155922324683,0.00012540335242462099,0.0002893441829251453,0.703869660232182
181.0,0.2975985540277335,0.00012609427919353503,0.0002902330744233967,0.7019851186186498
182.0,0.2994758373197296,0.0001272925529620473,0.00029089970616523887,0.7001059704211433
183.0,0.30134750815480943,0.00012873307210012908,0.0002916089430495458,0.698232149830041
184.0,0.30321363614245567,0.00013014676141478605,0.0002926245795885698,0.6963635925165411
185.0,0.3050742477908193,0.00013139963639238224,0.00029407931073672215,0.6945002732620517
186.0,0.30692933022979935,0.000132479873496811,0.0002959879462219285,0.6926422019504821
187.0,0.30877883121104277,0.00013349781016949483,0.000298247410545629,0.6907894235682422
188.0,0.3106226591079446,0.00013468594482938555,0.0003006367429827779,0.6889420182042433
189.0,0.3124606884395613,0.00013638095748896438,0.0003028348121829123,0.6871000957907669
190.0,0.3142929259116066,0.00013849266599734675,0.00030493823613258434,0.6852636431862635
191.0,0.3161194647324893,0.00014066312170203614,0.0003072984505452025,0.6834325736952636
192.0,0.3179403440906539,0.0001427026322746311,0.0003101038001171091,0.6816068494769545
193.0,0.31975555848914566,0.00014455627349496057,0.0003134142575666633,0.6797864709797928
194.0,0.3215650577456109,0.000146303889251084,0.0003171614236342403,0.6779714769415038
195.0,0.32336874699229684,0.00014816009153929122,0.00032114852708223256,0.6761619443890817
196.0,0.3251664866770038,0.00015047425740667884,0.00032505042767887995,0.6743579886379107
197.0,0.32695820993934377,0.000153360778567659,0.0003287705455738298,0.6725596587365148
198.0,0.32874401954475696,0.00015640716047457426,0.0003327147626836733,0.6707668585320848
199.0,0.3305239614706138,0.0001593768126169872,0.00033711841350949674,0.6689795433032598
200.0,0.33229803255619905,0.00016217710130288866,0.00034208148866039995,0.6671977088538378
201.0,0.33406618050271153,0.00016485934965869775,0.00034756863485349565,0.6654213915127764
202.0,0.3358283038732644,0.00016761883762926182,0.0003534091549139101,0.6636506681341925
203.0,0.3375842520928848,0.00017079480197785648,0.0003592970077747827,0.6618856560973627
204.0,0.339333896868205,0.00017464900802559974,0.0003650021969409823,0.6601264519268285
205.0,0.3410773252694979,0.00017877907158340026,0.00037092402807516303,0.6583729716308436
206.0,0.34281458416275895,0.00018290550029925596,0.0003773420133069905,0.6566251683236348
207.0,0.34454566519917446,0.00018690626145870644,0.00038438928929457225,0.6548830392500723
208.0,0.34627050724387337,0.0001908090709304135,0.00039206007765124336,0.653146623607545
209.0,0.34798899637592734,0.0001947913931661612,0.0004002096849455668,0.651416002545961
210.0,0.3497009658883506,0.00019918044120085577,0.00040855450270133265,0.6496912991677473
211.0,0.3514062398041412,0.00020432013139150783,0.0004167977052892241,0.6479726423591782
212.0,0.35310486634282895,0.00020986827183245758,0.00042528725980172006,0.6462599781255369
213.0,0.35479688548485083,0.00021550566975442846,0.00043434591953880707,0.644553262925856
214.0,0.35648227424614926,0.0002210879996238553,0.00044413552262723924,0.6428525022315997
215.0,0.35816095349483346,0.0002266243170655217,0.00045467762530438516,0.6411577445627967
216.0,0.3598327879511799,0.0002322770588625601,0.0004658535019182281,0.6394690814880394
217.0,0.3614975861876318,0.00023836204295645154,0.0004774041449273653,0.6377866476244844
218.0,0.3631551259507286,0.0002452719396395206,0.0004890018784782941,0.6361106002311538
219.0,0.36480539889490254,0.00025274722853785335,0.000500927207494807,0.6344409266690649
220.0,0.36644842665153515,0.0002604338558632989,0.0005135450320137601,0.632777594460588
221.0,0.3680841598951565,0.00026816883466335996,0.0005270463076905066,0.6311206249624898
222.0,0.369712489350365,0.000275945562832944,0.0005414811741886857,0.6294700839126135
223.0,0.37133324579182686,0.0002839138231143631,0.0005567589551802232,0.6278260814298787
224.0,0.3729462000442766,0.00029237978309733383,0.0005726481583453299,0.6261887720142809
225.0,0.37455107536640503,0.00030176887713042775,0.0005888109145612507,0.6245583448419034
226.0,0.37614778443088953,0.0003119262656128699,0.000605447140407868,0.6229348421630898
227.0,0.37773631536547275,0.00032246437782569327,0.0006229681870914946,0.6213182520696101
228.0,0.37931657701137433,0.00033320140845163236,0.0006416002170992606,0.6197086213630749
229.0,0.38088841326810774,0.0003441154737800865,0.0006614279457880246,0.6181060433123243
230.0,0.38245160309348036,0.0003553446117071192,0.0006823946413843733,0.6165106576534283
231.0,0.3840058605035935,0.00036718678173545895,0.0007043021249846215,0.6149226505896865
232.0,0.38555083803285417,0.00038008952748266173,0.0007268202944131786,0.6133422521452501
233.0,0.38708633492946243,0.0003940392927555912,0.0007500452879839566,0.6117695804897981
234.0,0.3886122837444398,0.00040861489442390486,0.0007744437320863146,0.6102046576290501
